"PM25","timestamp","lat","lon"
4.9,"2021-01-08_19",24.531,120.853
13.6363636363636,"2021-01-08_19",22.677,120.526
4.72727272727273,"2021-01-08_19",24.447,120.721
8.58333333333333,"2021-01-08_19",25.072,121.205
5.63636363636364,"2021-01-08_19",24.697,120.891
4.7,"2021-01-08_19",24.806,120.941
5.09090909090909,"2021-01-08_19",23.564,119.583
4.7,"2021-01-08_19",24.817,121.767
24.7272727272727,"2021-01-08_19",24.044,120.69
5,"2021-01-08_19",24.312,120.824
5.81818181818182,"2021-01-08_19",24.827,121.032
5,"2021-01-08_19",24.695,120.912
2.3,"2021-01-08_19",24.579,121.868
14.2,"2021-01-08_19",24.656,121.578
7.53448275862069,"2021-01-08_19",25.062,121.451
5.7,"2021-01-08_19",24.41,120.765
6.4,"2021-01-08_19",25.051,121.544
5,"2021-01-08_19",24.38,120.882
2.45454545454545,"2021-01-08_19",24.687,121.799
1.5,"2021-01-08_19",24.728,121.226
4.8,"2021-01-08_19",24.869,120.991
5.18181818181818,"2021-01-08_19",24.696,120.899
3.45454545454545,"2021-01-08_19",24.739,121.161
18.1818181818182,"2021-01-08_19",22.717,120.486
3.36363636363636,"2021-01-08_19",24.661,121.798
1.9,"2021-01-08_19",24.707,121.77
4.09090909090909,"2021-01-08_19",24.576,120.851
22,"2021-01-08_19",22.687,120.596
25.6,"2021-01-08_19",22.401,120.577
4.8,"2021-01-08_19",23.566,119.669
6.7,"2021-01-08_19",23.175,121.249
2.2,"2021-01-08_19",24.522,121.833
15.3,"2021-01-08_19",22.785,120.559
6.54545454545455,"2021-01-08_19",24.764,120.992
19.7,"2021-01-08_19",23.705,120.249
15.6,"2021-01-08_19",22.702,120.572
5.9,"2021-01-08_19",24.562,120.748
4.90909090909091,"2021-01-08_19",23.601,119.506
3,"2021-01-08_19",24.753,121.755
5.72727272727273,"2021-01-08_19",24.661,120.821
18,"2021-01-08_19",22.488,120.507
0,"2021-01-08_19",22.002,120.747
0.4,"2021-01-08_19",24.471,121.777
16.8888888888889,"2021-01-08_19",22.562,120.48
4.1,"2021-01-08_19",24.014,121.609
10.8181818181818,"2021-01-08_19",23.495,120.427
21.4,"2021-01-08_19",22.462,120.461
16.9090909090909,"2021-01-08_19",22.659,120.509
4.2,"2021-01-08_19",24.448,120.721
17.1818181818182,"2021-01-08_19",22.693,120.541
0,"2021-01-08_19",24.574,121.478
5.45454545454545,"2021-01-08_19",24.774,121.083
5.4,"2021-01-08_19",24.652,120.85
5,"2021-01-08_19",23.57,119.498
2.22222222222222,"2021-01-08_19",22.73,121.108
4.36363636363636,"2021-01-08_19",24.675,120.913
19.1818181818182,"2021-01-08_19",22.693,120.544
10,"2021-01-08_19",23.487,120.465
4.95238095238095,"2021-01-08_19",23.364,119.525
2,"2021-01-08_19",24.678,121.609
4.81818181818182,"2021-01-08_19",23.595,119.616
25.4,"2021-01-08_19",24.625,121.148
4.9,"2021-01-08_19",24.899,121.038
4.1,"2021-01-08_19",23.522,119.595
1.1,"2021-01-08_19",24.595,121.836
8.18181818181818,"2021-01-08_19",25.06,121.203
4.9,"2021-01-08_19",24.838,121.002
4.81818181818182,"2021-01-08_19",24.847,120.977
16.1818181818182,"2021-01-08_19",22.804,120.577
6,"2021-01-08_19",23.05,121.164
49.6363636363636,"2021-01-08_19",24.448,118.337
4,"2021-01-08_19",24.588,120.735
1.27272727272727,"2021-01-08_19",24.678,121.766
4.1,"2021-01-08_19",23.527,119.568
1.45454545454545,"2021-01-08_19",23.578,121.375
4.3,"2021-01-08_19",24.635,120.973
3,"2021-01-08_19",24.718,121.115
2.72727272727273,"2021-01-08_19",24.744,121.722
1.6,"2021-01-08_19",24.732,121.251
16.2,"2021-01-08_19",22.616,120.523
3.1,"2021-01-08_19",24.93,121.036
4.23809523809524,"2021-01-08_19",24.418,120.685
3.2,"2021-01-08_19",24.78,121.18
20.8,"2021-01-08_19",22.512,120.537
13.2857142857143,"2021-01-08_19",23.489,120.428
5.2,"2021-01-08_19",24.602,120.778
4.63636363636364,"2021-01-08_19",24.473,120.776
19.0909090909091,"2021-01-08_19",23.469,120.175
25.8181818181818,"2021-01-08_19",22.592,120.614
23.5,"2021-01-08_19",23.32,120.345
5.72727272727273,"2021-01-08_19",24.832,121.015
3.6,"2021-01-08_19",24.398,120.866
1.5,"2021-01-08_19",25.124,121.722
1,"2021-01-08_19",23.601,121.521
2.6,"2021-01-08_19",23.819,121.473
5.3,"2021-01-08_19",24.702,120.878
7.1,"2021-01-08_19",24.813,121.128
3.45454545454545,"2021-01-08_19",24.675,121.059
25.3,"2021-01-08_19",22.671,120.485
4.55,"2021-01-08_19",24.624,120.894
18.3,"2021-01-08_19",22.739,120.62
5.3,"2021-01-08_19",24.83,121.006
3.2,"2021-01-08_19",24.768,121.225
24.6666666666667,"2021-01-08_19",24.113,120.722
0,"2021-01-08_19",24.135,120.648
22.25,"2021-01-08_19",23.187,120.266
0.636363636363636,"2021-01-08_19",24.632,121.792
6.72727272727273,"2021-01-08_19",24.995,121.202
29.9090909090909,"2021-01-08_19",22.96,120.222
7.45454545454545,"2021-01-08_19",24.85,121.289
4.9,"2021-01-08_19",23.571,119.569
2.18181818181818,"2021-01-08_19",24.665,121.829
39,"2021-01-08_19",23.673,120.256
5.4,"2021-01-08_19",22.764,121.043
4.55,"2021-01-08_19",24.794,120.978
9.7,"2021-01-08_19",23.479,120.424
5.2,"2021-01-08_19",24.499,120.827
3.18181818181818,"2021-01-08_19",24.559,120.709
2.45454545454545,"2021-01-08_19",21.913,120.848
0.3,"2021-01-08_19",24.445,121.778
4.18181818181818,"2021-01-08_19",24.579,120.826
4.72727272727273,"2021-01-08_19",24.505,120.825
5.63636363636364,"2021-01-08_19",24.612,120.794
4.9,"2021-01-08_19",24.506,120.716
18.8,"2021-01-08_19",22.641,120.536
4.90909090909091,"2021-01-08_19",24.735,121.088
1,"2021-01-08_19",24.668,121.713
0.5,"2021-01-08_19",24.474,121.785
21.2,"2021-01-08_19",23.757,120.349
7,"2021-01-08_19",23.741,119.614
25.5454545454545,"2021-01-08_19",24.951,121.232
3.9,"2021-01-08_19",23.971,121.586
2.6,"2021-01-08_19",22.747,121.136
18.4545454545455,"2021-01-08_19",23.604,120.241
30.5454545454545,"2021-01-08_19",23.707,120.538
27.6,"2021-01-08_19",22.975,120.241
11.5,"2021-01-08_19",24.68,121.246
2,"2021-01-08_19",24.79,121.007
21.2222222222222,"2021-01-08_19",23.468,120.461
7.4,"2021-01-08_19",24.648,121.151
3.7,"2021-01-08_19",24.032,121.605
4.5,"2021-01-08_19",23.528,119.591
23.7777777777778,"2021-01-08_19",22.685,120.492
32,"2021-01-08_19",23.755,120.615
9.6,"2021-01-08_19",24.332,120.649
34.6666666666667,"2021-01-08_19",23.483,120.487
4,"2021-01-08_19",23.842,121.508
6,"2021-01-08_19",24.82,121.033
6.54545454545455,"2021-01-08_19",24.797,121.335
9.45454545454546,"2021-01-08_19",24.957,121.082
19.3,"2021-01-08_19",24.971,121.249
25.3636363636364,"2021-01-08_19",23.16,120.182
